1st GBM w/ Ford,GBM,9/12/2025 5:30:00,,1610 IOE,Mikko Hendricks,,https://www.surveymonkey.com/r/MP7T8ML,TRUE
Study Jamz,Academic,9/15/2025 5:00:00,9/15/2025 8:00:00,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
Jane Street Tech Talk,PD,9/17/2025 6:00:00,,,Kaden Sanders,,https://www.surveymonkey.com/r/MP7T8ML,TRUE
Verkada Tech Talk,PD,9/18/2025 1:00:00,,Leinweber 1125,Kaden Sanders,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
Golfing with Ford,PD,9/18/2025 0:00:00,,Driving Range,Kaden Sanders,,https://www.surveymonkey.com/r/MP7T8ML,TRUE
Peninsula Park Cleanup,Community Service,9/20/2025 9:00:00,9/20/2025 12:00:00,Peninsular Park,Londyn Jefferson,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
Study Jamz,Academic,9/22/2025 5:00:00,9/22/2025 8:00:00,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
LinkedIn Headshots,PD,,,,Nnenna Brown,,https://www.surveymonkey.com/r/MP7T8ML,TRUE
2nd GBM w/ P&G,GBM,9/26/2025 0:00:00,,1610 IOE,Mikko Hendricks,,https://www.surveymonkey.com/r/MP7T8ML,TRUE
Study Jamz,Academic,9/29/2025 5:00:00,9/29/2025 8:00:00,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE

Black Engineering Coalition X GSBES Graduate School Event",Social,9/30/2025 5:30:00,9/30/2025 7:00:00,Dow Building,Gianna Williams,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
Mentorship Mixer: Estimathon,Mentorship,10/1/2025 6:00:00,10/1/2025 7:30:00,1448 MH,Jaleel Drones-Akins,Moves date due to low sign up,https://www.surveymonkey.com/r/MP7T8ML,TRUE
Study Jamz,Academic,10/6/2025 5:00:00,10/6/2025 8:00:00,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
Bowling w/ Coinbase,Social,10/8/2025 8:00:00,10/8/2025 10:00:00,Revel and Roll,Kaden Sanders,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
Study Jamz,Academic,10/13/2025 5:00:00,10/13/2025 8:00:00,,,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
Bloomberg Coffee Chats,Social,10/15/2025 0:00:00,10/15/2025 0:00:00,,Kaden Sanders,,https://www.surveymonkey.com/r/MP7T8ML,FALSE
